Location,Row  ,Distanceft,Distancem,Rep,Type,Injury,Height
E,11,27.5,8.382,2,Covered,3,59
E,11,27.5,8.382,3,Covered,2,65
E,12,30,9.144,1,Covered,1,54
E,12,30,9.144,2,Covered,0,53
E,12,30,9.144,3,Covered,2,64
E,13,32.5,9.906,1,Covered,2,63
E,13,32.5,9.906,2,Covered,0,63
E,13,32.5,9.906,3,Covered,1,62
E,14,35,10.668,1,Covered,0,61
E,14,35,10.668,2,Covered,1,62
E,14,35,10.668,3,Covered,1,60
E,15,37.5,11.43,1,Covered,1,59
E,15,37.5,11.43,2,Covered,1,60
E,15,37.5,11.43,3,Covered,0,62
E,16,40,12.192,1,Covered,0,65
E,16,40,12.192,2,Covered,1,63
E,16,40,12.192,3,Covered,0,62
E,17,42.5,12.954,1,Covered,0,62
E,17,42.5,12.954,2,Covered,1,60
E,17,42.5,12.954,3,Covered,0,65
E,18,45,13.716,1,Covered,0,62
E,18,45,13.716,2,Covered,1,63
E,18,45,13.716,3,Covered,0,66
E,19,47.5,14.478,1,Covered,1,64
E,19,47.5,14.478,2,Covered,1,63
E,19,47.5,14.478,3,Covered,0,66
E,20,50,15.24,1,Covered,0,62
E,20,50,15.24,2,Covered,1,61
E,20,50,15.24,3,Covered,0,65
E,21,52.5,16.002,1,Covered,0,66
E,21,52.5,16.002,2,Covered,1,65
E,21,52.5,16.002,3,Covered,0,66
E,1,2.5,0.762,1,Non-covered,12,68
E,1,2.5,0.762,2,Non-covered,25,70
E,1,2.5,0.762,3,Non-covered,17,65
E,2,5,1.524,1,Non-covered,15,66
E,2,5,1.524,2,Non-covered,10,65
E,2,5,1.524,3,Non-covered,13,65
E,3,7.5,2.286,1,Non-covered,13,69
E,3,7.5,2.286,2,Non-covered,12,68
E,3,7.5,2.286,3,Non-covered,12,68
E,4,10,3.048,1,Non-covered,10,70
E,4,10,3.048,2,Non-covered,5,71
E,4,10,3.048,3,Non-covered,8,60
E,5,12.5,3.81,1,Non-covered,11,70
E,5,12.5,3.81,2,Non-covered,10,66
E,5,12.5,3.81,3,Non-covered,8,68
E,6,15,4.572,1,Non-covered,7,70
E,6,15,4.572,2,Non-covered,5,66
E,6,15,4.572,3,Non-covered,6,63
E,7,17.5,5.334,1,Non-covered,10,67
E,7,17.5,5.334,2,Non-covered,7,70
E,7,17.5,5.334,3,Non-covered,5,66
E,8,20,6.096,1,Non-covered,4,66
E,8,20,6.096,2,Non-covered,9,71
E,8,20,6.096,3,Non-covered,3,67
E,9,22.5,6.858,1,Non-covered,4,65
E,9,22.5,6.858,2,Non-covered,18,64
E,9,22.5,6.858,3,Non-covered,2,68
E,10,25,7.62,1,Non-covered,2,65
E,10,25,7.62,2,Non-covered,10,68
E,10,25,7.62,3,Non-covered,6,70
E,11,27.5,8.382,1,Non-covered,6,66
E,11,27.5,8.382,2,Non-covered,4,66
E,11,27.5,8.382,3,Non-covered,3,68
E,12,30,9.144,1,Non-covered,2,65
E,12,30,9.144,2,Non-covered,2,64
E,12,30,9.144,3,Non-covered,3,70
E,13,32.5,9.906,1,Non-covered,3,66
E,13,32.5,9.906,2,Non-covered,1,64
E,13,32.5,9.906,3,Non-covered,0,66
E,14,35,10.668,1,Non-covered,0,64
E,14,35,10.668,2,Non-covered,2,62
E,14,35,10.668,3,Non-covered,2,70
E,15,37.5,11.43,1,Non-covered,1,66
E,15,37.5,11.43,2,Non-covered,2,64
E,15,37.5,11.43,3,Non-covered,0,65
E,16,40,12.192,1,Non-covered,1,63
E,16,40,12.192,2,Non-covered,2,66
E,16,40,12.192,3,Non-covered,1,67
E,17,42.5,12.954,1,Non-covered,3,68
E,17,42.5,12.954,2,Non-covered,2,66
E,17,42.5,12.954,3,Non-covered,2,69
E,18,45,13.716,1,Non-covered,0,63
E,18,45,13.716,2,Non-covered,0,65
E,18,45,13.716,3,Non-covered,1,63
